country,date,new_cases_7d
US,2022-01-15,806962.8571428572
"Korea, South",2022-03-17,404997.5714285714
India,2021-05-08,391232.0
France,2022-01-25,367017.28571428574
Vietnam,2022-03-18,274025.28571428574
Germany,2022-03-24,229484.14285714287
Japan,2022-08-24,226955.0
United Kingdom,2022-02-01,197997.57142857142
Brazil,2022-01-29,189227.0
Russia,2022-02-15,188712.42857142858
Italy,2022-01-14,181821.7142857143
Turkey,2020-12-10,145043.7142857143
Spain,2022-01-13,144008.85714285713
Netherlands,2022-02-11,125471.57142857143
Argentina,2022-01-17,114018.14285714286
Australia,2022-01-13,109214.71428571429
Israel,2022-01-25,101905.14285714286
Taiwan*,2022-05-20,83631.57142857143
China,2022-03-04,66551.28571428571
Portugal,2022-01-31,62083.42857142857
Indonesia,2022-02-20,55675.28571428572
Greece,2022-07-19,52518.42857142857
Belgium,2022-01-27,52137.57142857143
Peru,2022-01-25,50361.71428571428
Mexico,2022-01-25,49322.0
Poland,2022-02-02,49077.857142857145
Denmark,2022-02-13,47065.71428571428
Austria,2022-03-19,46163.142857142855
Czechia,2022-02-02,45320.142857142855
Canada,2022-01-10,41474.42857142857
Sweden,2022-01-28,40921.57142857143
Iran,2021-08-17,39795.28571428572
Ukraine,2022-02-10,37408.57142857143
Switzerland,2022-01-31,36277.0
Chile,2022-02-13,35656.28571428572
Philippines,2022-01-18,34897.857142857145
Colombia,2021-06-28,31255.571428571428
Malaysia,2022-03-09,30729.85714285714
Romania,2022-02-04,30033.428571428572
Thailand,2022-04-13,27310.85714285714
Ireland,2022-01-09,23752.0
South Africa,2021-12-17,23437.14285714286
Slovakia,2022-02-11,22599.428571428572
New Zealand,2022-03-06,22036.714285714286
Georgia,2022-02-06,21690.0
Norway,2022-01-27,20411.0
Jordan,2022-02-14,19820.0
Serbia,2022-02-02,19288.0
Singapore,2022-02-25,18325.14285714286
Costa Rica,2022-07-26,17634.428571428572
Hungary,2022-01-31,16002.857142857143
Slovenia,2022-02-03,15181.57142857143
Bangladesh,2021-08-03,14477.285714285714
Kazakhstan,2021-07-23,14234.42857142857
Lithuania,2022-02-05,12701.142857142857
Iraq,2021-08-02,11985.57142857143
Bolivia,2022-01-20,11969.714285714286
Uruguay,2022-01-22,11399.857142857143
Finland,2022-03-16,10795.0
Panama,2022-01-20,10697.857142857143
Latvia,2022-02-14,9859.285714285714
Morocco,2021-08-10,9774.285714285714
Tunisia,2022-01-22,9430.714285714286
Cuba,2021-08-24,9416.714285714286
Ecuador,2022-01-20,9197.285714285714
Nepal,2021-05-12,8962.714285714286
Bulgaria,2022-01-27,8941.285714285714
Croatia,2022-01-26,8909.57142857143
Paraguay,2022-12-07,8675.857142857143
Mongolia,2022-01-27,8431.857142857143
Lebanon,2022-02-05,8257.57142857143
West Bank and Gaza,2022-02-03,8015.142857142857
Belarus,2022-02-14,7901.571428571428
Bahrain,2022-02-07,7649.714285714285
Pakistan,2022-01-29,7198.0
Azerbaijan,2022-02-10,7050.142857142857
Estonia,2022-02-06,6909.428571428572
Dominican Republic,2022-01-14,6378.0
Kuwait,2022-02-02,6274.142857142857
Sri Lanka,2021-08-30,5960.857142857143
Botswana,2022-03-30,5939.428571428572
Burma,2021-07-22,5831.285714285715
Saudi Arabia,2022-01-20,5611.857142857143
Guatemala,2022-07-15,5462.714285714285
Mauritius,2022-01-31,5102.428571428572
Cyprus,2022-03-30,4908.285714285715
Zimbabwe,2021-12-17,4821.428571428572
Moldova,2022-01-29,4463.714285714285
Ethiopia,2021-12-31,4229.285714285715
Brunei,2022-03-07,4213.142857142857
Qatar,2022-01-17,4101.571428571428
Zambia,2022-01-04,3870.8571428571427
Libya,2022-02-04,3761.8571428571427
United Arab Emirates,2021-01-30,3755.0
Tanzania,2021-09-29,3497.0
Armenia,2022-02-07,3399.0
Kosovo,2022-01-29,3352.285714285714
Uganda,2021-08-29,3182.714285714286
Iceland,2022-02-25,3041.0
Mozambique,2022-01-03,3028.0
Kenya,2021-12-27,2774.714285714286
Kyrgyzstan,2020-07-23,2678.4285714285716
Maldives,2022-01-31,2673.1428571428573
Laos,2022-04-02,2555.5714285714284
Montenegro,2022-01-10,2472.285714285714
Bosnia and Herzegovina,2022-01-20,2424.5714285714284
Cameroon,2021-04-01,2387.8571428571427
Egypt,2022-02-20,2376.5714285714284
Honduras,2022-02-21,2368.8571428571427
Venezuela,2022-01-31,2344.0
Luxembourg,2022-01-26,2315.714285714286
Albania,2022-01-15,2290.714285714286
Oman,2022-02-06,2246.714285714286
Algeria,2022-01-28,2177.5714285714284
Afghanistan,2021-06-23,2095.5714285714284
Nigeria,2021-12-26,2011.142857142857
El Salvador,2022-02-14,1811.0
Namibia,2021-06-30,1797.7142857142858
North Macedonia,2022-01-27,1761.4285714285713
Bhutan,2022-04-14,1716.7142857142858
Angola,2022-01-03,1716.0
Micronesia,2022-10-07,1431.2857142857142
Jamaica,2022-01-17,1425.7142857142858
Rwanda,2021-07-23,1396.5714285714287
Ghana,2022-01-01,1348.857142857143
Marshall Islands,2022-08-20,1318.7142857142858
Uzbekistan,2022-01-25,1304.142857142857
Cote d'Ivoire,2022-01-04,1245.7142857142858
Fiji,2021-07-21,1201.5714285714287
Burundi,2022-01-10,1162.0
Malta,2022-01-02,1142.857142857143
Eswatini,2021-12-17,1100.5714285714287
Congo (Kinshasa),2021-12-29,1070.7142857142858
Cabo Verde,2022-01-09,1062.7142857142858
Mauritania,2022-01-11,1029.2857142857142
Guyana,2022-01-18,1024.7142857142858
Lesotho,2021-10-07,1005.4285714285714
Malawi,2021-01-25,994.2857142857143
Suriname,2022-01-19,992.1428571428571
Cambodia,2021-07-06,981.0
Senegal,2021-07-23,979.0
Trinidad and Tobago,2021-12-09,794.8571428571429
Belize,2022-01-24,754.2857142857143
Andorra,2022-01-26,734.2857142857143
Barbados,2022-01-25,699.7142857142857
Benin,2021-09-14,643.4285714285714
Madagascar,2021-04-20,633.8571428571429
Mali,2022-01-15,620.1428571428571
Seychelles,2022-01-10,606.0
Central African Republic,2021-08-14,585.7142857142857
Sudan,2022-01-20,577.5714285714286
Gabon,2021-12-31,537.0
Togo,2022-01-08,536.0
Papua New Guinea,2021-10-24,512.2857142857143
Bahamas,2022-01-15,504.7142857142857
Solomon Islands,2022-05-01,462.85714285714283
Saint Vincent and the Grenadines,2022-01-27,404.57142857142856
Samoa,2022-04-20,386.0
Nauru,2022-07-02,385.2857142857143
Tonga,2022-03-30,377.0
Syria,2021-10-21,366.14285714285717
Saint Lucia,2022-01-14,365.0
Congo (Brazzaville),2022-01-09,332.7142857142857
Timor-Leste,2021-08-27,322.85714285714283
Guinea,2022-01-07,298.2857142857143
Vanuatu,2022-04-03,290.42857142857144
Grenada,2022-01-17,288.42857142857144
Burkina Faso,2022-01-09,286.2857142857143
Equatorial Guinea,2020-07-31,250.0
Tajikistan,2020-05-25,229.57142857142858
Tuvalu,2022-11-18,221.85714285714286
South Sudan,2021-12-26,219.14285714285714
Kiribati,2023-01-10,213.0
Djibouti,2021-04-11,195.28571428571428
San Marino,2022-01-13,191.71428571428572
Haiti,2020-06-07,191.42857142857142
Liechtenstein,2022-03-17,190.85714285714286
Somalia,2021-03-02,181.71428571428572
Sao Tome and Principe,2022-01-13,179.0
Comoros,2022-01-05,177.14285714285714
Palau,2022-01-28,169.28571428571428
Monaco,2022-01-11,168.57142857142858
Liberia,2021-07-06,160.57142857142858
Dominica,2022-05-25,152.57142857142858
Saint Kitts and Nevis,2022-01-08,144.71428571428572
Gambia,2021-08-03,137.57142857142858
Antigua and Barbuda,2022-01-27,111.85714285714286
Yemen,2021-04-05,109.42857142857143
Niger,2022-01-13,102.28571428571429
Nicaragua,2020-06-03,95.85714285714286
Sierra Leone,2021-06-25,88.85714285714286
Eritrea,2021-06-10,88.71428571428571
Chad,2021-12-03,85.14285714285714
Guinea-Bissau,2020-05-10,67.0
Winter Olympics 2022,2022-02-05,35.42857142857143
Summer Olympics 2020,2021-08-10,32.857142857142854
Holy See,2020-10-17,2.142857142857143
Antarctica,2021-12-14,1.5714285714285714
"Korea, North",2022-05-14,0.14285714285714285
