date,cumulative_cases,net_new_cases,new_cases_7d
2020-01-22,557,,
2020-01-23,657,100.0,
2020-01-24,944,287.0,
2020-01-25,1437,493.0,
2020-01-26,2120,683.0,
2020-01-27,2929,809.0,
2020-01-28,5580,2651.0,
2020-01-29,6169,589.0,801.7142857142857
2020-01-30,8237,2068.0,1082.857142857143
2020-01-31,9927,1690.0,1283.2857142857142
2020-02-01,12038,2111.0,1514.4285714285713
2020-02-02,16787,4749.0,2095.285714285714
2020-02-03,19887,3100.0,2422.5714285714284
2020-02-04,23899,4012.0,2617.0
2020-02-05,27644,3745.0,3067.8571428571427
2020-02-06,30806,3162.0,3224.1428571428573
2020-02-07,34339,3533.0,3487.4285714285716
2020-02-08,37070,2731.0,3576.0
2020-02-09,40098,3028.0,3330.1428571428573
2020-02-10,42636,2538.0,3249.8571428571427
2020-02-11,44679,2043.0,2968.5714285714284
2020-02-12,45057,378.0,2487.5714285714284
2020-02-13,60209,15152.0,4200.428571428572
2020-02-14,66694,6485.0,4622.142857142857
2020-02-15,68770,2076.0,4528.571428571428
2020-02-16,70883,2113.0,4397.857142857143
2020-02-17,72819,1936.0,4311.857142857143
2020-02-18,74613,1794.0,4276.285714285715
2020-02-19,75034,421.0,4282.428571428572
2020-02-20,75582,548.0,2196.1428571428573
2020-02-21,76212,630.0,1359.7142857142858
2020-02-22,77974,1762.0,1314.857142857143
2020-02-23,78299,325.0,1059.4285714285713
2020-02-24,78867,568.0,864.0
2020-02-25,79721,854.0,729.7142857142857
2020-02-26,80679,958.0,806.4285714285714
2020-02-27,82023,1344.0,920.1428571428571
2020-02-28,83447,1424.0,1033.5714285714287
2020-02-29,85318,1871.0,1049.142857142857
2020-03-01,87697,2379.0,1342.5714285714287
2020-03-02,89677,1980.0,1544.2857142857142
2020-03-03,92288,2611.0,1795.2857142857142
2020-03-04,94632,2344.0,1993.2857142857142
2020-03-05,97372,2740.0,2192.714285714286
2020-03-06,101356,3984.0,2558.4285714285716
2020-03-07,105493,4137.0,2882.1428571428573
2020-03-08,109291,3798.0,3084.8571428571427
2020-03-09,113586,4295.0,3415.5714285714284
2020-03-10,118345,4759.0,3722.4285714285716
2020-03-11,125821,7476.0,4455.571428571428
2020-03-12,132577,6756.0,5029.285714285715
2020-03-13,145771,13194.0,6345.0
2020-03-14,156659,10888.0,7309.428571428572
2020-03-15,167892,11233.0,8371.57142857143
2020-03-16,182459,14567.0,9839.0
2020-03-17,197633,15174.0,11326.857142857143
2020-03-18,215188,17555.0,12766.714285714286
2020-03-19,242275,27087.0,15671.142857142857
2020-03-20,271805,29530.0,18004.85714285714
2020-03-21,304232,32427.0,21081.85714285714
2020-03-22,338444,34212.0,24364.571428571428
2020-03-23,380999,42555.0,28362.85714285714
2020-03-24,422882,41883.0,32178.428571428572
2020-03-25,474363,51481.0,37025.0
2020-03-26,535177,60814.0,41843.142857142855
2020-03-27,599108,63931.0,46757.57142857143
2020-03-28,668688,69580.0,52065.142857142855
2020-03-29,725204,56516.0,55251.42857142857
2020-03-30,790215,65011.0,58459.42857142857
2020-03-31,868657,78442.0,63682.142857142855
2020-04-01,955007,86350.0,68663.42857142857
2020-04-02,1037455,82448.0,71754.0
2020-04-03,1121665,84210.0,74651.0
2020-04-04,1181786,60121.0,73299.71428571429
2020-04-05,1253501,71715.0,75471.0
2020-04-06,1328227,74726.0,76858.85714285714
2020-04-07,1397165,68938.0,75501.14285714286
2020-04-08,1479341,82176.0,74904.85714285714
2020-04-09,1566522,87181.0,75581.0
2020-04-10,1652944,86422.0,75897.0
2020-04-11,1728459,75515.0,78096.14285714286
2020-04-12,1847040,118581.0,84791.28571428571
2020-04-13,1918872,71832.0,84377.85714285714
2020-04-14,2003505,84633.0,86620.0
2020-04-15,2081761,78256.0,86060.0
2020-04-16,2176229,94468.0,87101.0
2020-04-17,2264109,87880.0,87309.28571428571
2020-04-18,2342361,78252.0,87700.28571428571
2020-04-19,2418683,76322.0,81663.28571428571
2020-04-20,2495165,76482.0,82327.57142857143
2020-04-21,2571252,76087.0,81106.71428571429
2020-04-22,2653290,82038.0,81647.0
2020-04-23,2736007,82717.0,79968.28571428571
2020-04-24,2819570,83563.0,79351.57142857143
2020-04-25,2902775,83205.0,80059.14285714286
2020-04-26,2973570,70795.0,79269.57142857143
2020-04-27,3044554,70984.0,78484.14285714286
2020-04-28,3120386,75832.0,78447.71428571429
2020-04-29,3197714,77328.0,77774.85714285714
2020-04-30,3281366,83652.0,77908.42857142857
2020-05-01,3370312,88946.0,78677.42857142857
2020-05-02,3448574,78262.0,77971.28571428571
2020-05-03,3522571,73997.0,78428.71428571429
2020-05-04,3600208,77637.0,79379.14285714286
2020-05-05,3679893,79685.0,79929.57142857143
2020-05-06,3770315,90422.0,81800.14285714286
2020-05-07,3859453,89138.0,82583.85714285714
2020-05-08,3949936,90483.0,82803.42857142857
2020-05-09,4034279,84343.0,83672.14285714286
2020-05-10,4109502,75223.0,83847.28571428571
2020-05-11,4185643,76141.0,83633.57142857143
2020-05-12,4270923,85280.0,84432.85714285714
2020-05-13,4355271,84348.0,83565.14285714286
2020-05-14,4450913,95642.0,84494.28571428571
2020-05-15,4546815,95902.0,85268.42857142857
2020-05-16,4640705,93890.0,86632.28571428571
2020-05-17,4719068,78363.0,87080.85714285714
2020-05-18,4808200,89132.0,88936.71428571429
2020-05-19,4904018,95818.0,90442.14285714286
2020-05-20,5009441,105423.0,93452.85714285714
2020-05-21,5115414,105973.0,94928.71428571429
2020-05-22,5222756,107342.0,96563.0
2020-05-23,5326906,104150.0,98028.71428571429
2020-05-24,5420122,93216.0,100150.57142857143
2020-05-25,5508345,88223.0,100020.71428571429
2020-05-26,5600707,92362.0,99527.0
2020-05-27,5703263,102556.0,99117.42857142857
2020-05-28,5823256,119993.0,101120.28571428571
2020-05-29,5944692,121436.0,103133.71428571429
2020-05-30,6079735,135043.0,107547.0
2020-05-31,6182595,102860.0,108924.71428571429
2020-06-01,6282859,100264.0,110644.85714285714
2020-06-02,6405500,122641.0,114970.42857142857
2020-06-03,6516716,111216.0,116207.57142857143
2020-06-04,6654946,138230.0,118812.85714285714
2020-06-05,6788352,133406.0,120522.85714285714
2020-06-06,6917682,129330.0,119706.71428571429
2020-06-07,7028694,111012.0,120871.28571428571
2020-06-08,7131742,103048.0,121269.0
2020-06-09,7257724,125982.0,121746.28571428571
2020-06-10,7394886,137162.0,125452.85714285714
2020-06-11,7531072,136186.0,125160.85714285714
2020-06-12,7658546,127474.0,124313.42857142857
2020-06-13,7792454,133908.0,124967.42857142857
2020-06-14,7924401,131947.0,127958.14285714286
2020-06-15,8049313,124912.0,131081.57142857142
2020-06-16,8193212,143899.0,133641.14285714287
2020-06-17,8336414,143202.0,134504.0
2020-06-18,8479508,143094.0,135490.85714285713
2020-06-19,8660504,180996.0,143136.85714285713
2020-06-20,8846387,185883.0,150561.85714285713
2020-06-21,8939449,93062.0,145006.85714285713
2020-06-22,9081781,142332.0,147495.42857142858
2020-06-23,9249904,168123.0,150956.0
2020-06-24,9421340,171436.0,154989.42857142858
2020-06-25,9600855,179515.0,160192.42857142858
2020-06-26,9793345,192490.0,161834.42857142858
2020-06-27,9969757,176412.0,160481.42857142858
2020-06-28,10138214,168457.0,171252.14285714287
2020-06-29,10290896,152682.0,172730.7142857143
2020-06-30,10474667,183771.0,174966.14285714287
2020-07-01,10689795,215128.0,181207.85714285713
2020-07-02,10894765,204970.0,184844.2857142857
2020-07-03,11097403,202638.0,186294.0
2020-07-04,11287117,189714.0,188194.2857142857
2020-07-05,11473337,186220.0,190731.85714285713
2020-07-06,11641610,168273.0,192959.14285714287
2020-07-07,11851179,209569.0,196644.57142857142
2020-07-08,12066465,215286.0,196667.14285714287
2020-07-09,12291061,224596.0,199470.85714285713
2020-07-10,12523942,232881.0,203791.2857142857
2020-07-11,12736762,212820.0,207092.14285714287
2020-07-12,12929694,192932.0,208051.0
2020-07-13,13124172,194478.0,211794.57142857142
2020-07-14,13345199,221027.0,213431.42857142858
2020-07-15,13574985,229786.0,215502.85714285713
2020-07-16,13819897,244912.0,218405.14285714287
2020-07-17,14057317,237420.0,219053.57142857142
2020-07-18,14292658,235341.0,222270.85714285713
2020-07-19,14504549,211891.0,224979.2857142857
2020-07-20,14712693,208144.0,226931.57142857142
2020-07-21,14955714,243021.0,230073.57142857142
2020-07-22,15231070,275356.0,236583.57142857142
2020-07-23,15510701,279631.0,241543.42857142858
2020-07-24,15794207,283506.0,248127.14285714287
2020-07-25,16043764,249557.0,250158.0
2020-07-26,16255573,211809.0,250146.2857142857
2020-07-27,16489959,234386.0,253895.14285714287
2020-07-28,16753846,263887.0,256876.0
2020-07-29,17024080,270234.0,256144.2857142857
2020-07-30,17305861,281781.0,256451.42857142858
2020-07-31,17593323,287462.0,257016.57142857142
2020-08-01,17839594,246271.0,256547.14285714287
2020-08-02,18070205,230611.0,259233.14285714287
2020-08-03,18276262,206057.0,255186.14285714287
2020-08-04,18541566,265304.0,255388.57142857142
2020-08-05,18816722,275156.0,256091.7142857143
2020-08-06,19103424,286702.0,256794.7142857143
2020-08-07,19385858,282434.0,256076.42857142858
2020-08-08,19651085,265227.0,258784.42857142858
2020-08-09,19884080,232995.0,259125.0
2020-08-10,20117292,233212.0,263004.28571428574
2020-08-11,20382855,265563.0,263041.28571428574
2020-08-12,20657925,275070.0,263029.0
2020-08-13,20948019,290094.0,263513.5714285714
2020-08-14,21255092,307073.0,267033.4285714286
2020-08-15,21504118,249026.0,264719.0
2020-08-16,21714159,210041.0,261439.85714285713
2020-08-17,21927041,212882.0,258535.57142857142
2020-08-18,22186445,259404.0,257655.7142857143
2020-08-19,22463919,277474.0,257999.14285714287
2020-08-20,22735398,271479.0,255339.85714285713
2020-08-21,22997351,261953.0,248894.14285714287
2020-08-22,23260880,263529.0,250966.0
2020-08-23,23463639,202759.0,249925.7142857143
2020-08-24,23691739,228100.0,252099.7142857143
2020-08-25,23936947,245208.0,250071.7142857143
2020-08-26,24218638,281691.0,250674.14285714287
2020-08-27,24505901,287263.0,252929.0
2020-08-28,24789840,283939.0,256069.85714285713
2020-08-29,25050574,260734.0,255670.57142857142
2020-08-30,25270312,219738.0,258096.14285714287
2020-08-31,25534619,264307.0,263268.5714285714
2020-09-01,25801503,266884.0,266365.14285714284
2020-09-02,26083393,281890.0,266393.5714285714
2020-09-03,26368823,285430.0,266131.71428571426
2020-09-04,26670555,301732.0,268673.5714285714
2020-09-05,26944276,273721.0,270528.85714285716
2020-09-06,27173274,228998.0,271851.71428571426
2020-09-07,27390557,217283.0,265134.0
2020-09-08,27637069,246512.0,262223.71428571426
2020-09-09,27922379,285310.0,262712.28571428574
2020-09-10,28226772,304393.0,265421.28571428574
2020-09-11,28543134,316362.0,267511.28571428574
2020-09-12,28831859,288725.0,269654.71428571426
2020-09-13,29080694,248835.0,272488.5714285714
2020-09-14,29347834,267140.0,279611.0
2020-09-15,29628386,280552.0,284473.85714285716
2020-09-16,29933338,304952.0,287279.85714285716
2020-09-17,30248911,315573.0,288877.0
2020-09-18,30575557,326646.0,290346.14285714284
2020-09-19,30868676,293119.0,290973.85714285716
2020-09-20,31123805,255129.0,291873.0
2020-09-21,31383714,259909.0,290840.0
2020-09-22,31668033,284319.0,291378.14285714284
2020-09-23,31979686,311653.0,292335.4285714286
2020-09-24,32300639,320953.0,293104.0
2020-09-25,32631253,330614.0,293670.85714285716
2020-09-26,32917364,286111.0,292669.71428571426
2020-09-27,33164358,246994.0,291507.5714285714
2020-09-28,33425607,261249.0,291699.0
2020-09-29,33708407,282800.0,291482.0
2020-09-30,34032954,324547.0,293324.0
2020-10-01,34352066,319112.0,293061.0
2020-10-02,34681571,329505.0,292902.5714285714
2020-10-03,34978926,297355.0,294508.85714285716
2020-10-04,35239458,260532.0,296442.85714285716
2020-10-05,35550803,311345.0,303599.4285714286
2020-10-06,35866926,316123.0,308359.85714285716
2020-10-07,36216120,349194.0,311880.85714285716
2020-10-08,36575441,359321.0,317625.0
2020-10-09,36935844,360403.0,322039.0
2020-10-10,37291368,355524.0,330348.85714285716
2020-10-11,37580862,289494.0,334486.28571428574
2020-10-12,37870887,290025.0,331440.5714285714
2020-10-13,38190259,319372.0,331904.71428571426
2020-10-14,38571043,380784.0,336417.5714285714
2020-10-15,38978039,406996.0,343228.28571428574
2020-10-16,39388559,410520.0,350387.85714285716
2020-10-17,39760692,372133.0,352760.5714285714
2020-10-18,40091935,331243.0,358724.71428571426
2020-10-19,40466885,374950.0,370856.85714285716
2020-10-20,40855759,388874.0,380785.71428571426
2020-10-21,41295370,439611.0,389189.5714285714
2020-10-22,41777447,482077.0,399915.4285714286
2020-10-23,42271348,493901.0,411827.0
2020-10-24,42727693,456345.0,423857.28571428574
2020-10-25,43086526,358833.0,427798.71428571426
2020-10-26,43569570,483044.0,443240.71428571426
2020-10-27,44038033,468463.0,454610.5714285714
2020-10-28,44559802,521769.0,466347.4285714286
2020-10-29,45111177,551375.0,476247.14285714284
2020-10-30,45682919,571742.0,487367.28571428574
2020-10-31,46155024,472105.0,489618.71428571426
2020-11-01,46594213,439189.0,501098.14285714284
2020-11-02,47142582,548369.0,510430.28571428574
2020-11-03,47708096,565514.0,524294.7142857143
2020-11-04,48200240,492144.0,520062.5714285714
2020-11-05,48819574,619334.0,529771.0
2020-11-06,49442757,623183.0,537119.7142857143
2020-11-07,50041948,599191.0,555274.8571428572
2020-11-08,50532797,490849.0,562654.8571428572
2020-11-09,51042603,509806.0,557145.8571428572
2020-11-10,51613348,570745.0,557893.1428571428
