country,date,net_new_cases
Afghanistan,2020-03-20,-2.0
Afghanistan,2022-01-03,-6.0
Afghanistan,2023-02-04,-48.0
Antigua and Barbuda,2020-07-03,-1.0
Antigua and Barbuda,2021-05-09,-1.0
Australia,2022-01-31,-26856.0
Australia,2022-02-16,-2574.0
Australia,2023-02-03,-219.0
Austria,2020-02-26,-1.0
Austria,2022-09-14,-12934.0
Austria,2022-12-04,-5.0
Austria,2023-02-10,-17.0
Azerbaijan,2022-04-28,-25.0
Bahamas,2021-11-10,-48.0
Benin,2020-05-19,-209.0
Botswana,2022-12-07,-1960.0
Brazil,2020-06-21,-19796.0
Brazil,2022-09-20,-136.0
Brazil,2023-02-16,-927.0
Brazil,2023-03-06,-5156.0
Brunei,2021-12-10,-18.0
Canada,2022-04-15,-8046.0
Canada,2022-08-04,-7915.0
China,2020-05-03,-16.0
China,2020-05-04,-4.0
Congo (Brazzaville),2023-02-06,-302.0
Cote d'Ivoire,2020-12-16,-34.0
Czechia,2021-03-22,-2214.0
Czechia,2021-10-14,-1096.0
Czechia,2022-04-14,-2868.0
Czechia,2022-05-22,-817.0
Czechia,2022-10-27,-6885.0
Denmark,2021-03-24,-2001.0
Dominica,2021-12-06,-34.0
Ecuador,2020-05-07,-1583.0
Ecuador,2020-05-08,-1480.0
Ecuador,2020-05-11,-50.0
Ecuador,2020-09-07,-7953.0
Ecuador,2021-11-11,-407.0
El Salvador,2020-09-27,-92.0
Equatorial Guinea,2022-04-11,-97.0
Estonia,2022-07-19,-770.0
France,2020-04-04,-17076.0
France,2020-04-07,-3489.0
France,2020-04-23,-1709.0
France,2020-04-29,-1455.0
France,2020-05-24,-439.0
France,2020-06-02,-647.0
France,2020-06-03,-3226.0
France,2020-06-28,-407.0
France,2020-11-04,-46121.0
France,2021-05-20,-348840.0
France,2022-05-23,-29635.0
France,2022-06-11,-94.0
Gambia,2020-08-24,-100.0
Grenada,2022-02-27,-17.0
Guyana,2020-03-24,-15.0
Haiti,2022-05-22,-35.0
Honduras,2020-05-12,-20.0
Iceland,2021-02-08,-1.0
Iceland,2022-04-19,-273.0
India,2022-10-11,-159.0
India,2022-11-07,-1211.0
India,2022-11-17,-568.0
India,2023-02-10,-1225.0
Ireland,2021-06-30,-23.0
Ireland,2021-09-02,-1707.0
Ireland,2021-09-15,-1176.0
Ireland,2022-02-15,-5532.0
Israel,2020-03-11,-28.0
Israel,2021-04-17,-53.0
Israel,2021-11-23,-1149.0
Italy,2020-06-19,-148.0
Jordan,2020-07-21,-110.0
Kazakhstan,2021-07-24,-59375.0
Kazakhstan,2022-07-20,-1024.0
Kiribati,2022-03-22,-4.0
Laos,2022-06-11,-2.0
Liberia,2020-03-21,-3.0
Liberia,2021-09-25,-123.0
Liechtenstein,2020-06-22,-1.0
Liechtenstein,2020-06-23,-3.0
Lithuania,2022-05-22,-359.0
Luxembourg,2020-08-28,-1348.0
Madagascar,2020-05-11,-7.0
Malawi,2022-11-07,-26.0
Malawi,2022-11-10,-26.0
Malaysia,2022-10-02,-108.0
Malta,2020-08-16,-42.0
Marshall Islands,2020-11-05,-1.0
Mauritania,2022-04-11,-31.0
Mauritius,2021-12-10,-14.0
Mauritius,2021-12-21,-31.0
Mauritius,2021-12-22,-41.0
Mauritius,2021-12-24,-29.0
Mauritius,2021-12-26,-27.0
Mexico,2022-05-03,-400.0
Mexico,2022-09-12,-141.0
Mexico,2022-10-31,-111.0
Mexico,2022-11-07,-229.0
Mexico,2022-11-23,-267.0
Micronesia,2022-08-23,-464.0
Micronesia,2022-08-24,-61.0
Monaco,2020-09-02,-12.0
Monaco,2022-05-22,-86.0
Monaco,2023-02-28,-2.0
Mongolia,2022-05-22,-1417.0
Mozambique,2021-05-11,-16.0
Namibia,2022-10-18,-621.0
Namibia,2022-10-24,-621.0
Nepal,2020-05-14,-1.0
Netherlands,2022-10-19,-794.0
New Zealand,2020-04-26,-1.0
New Zealand,2020-05-04,-1.0
New Zealand,2021-01-29,-2.0
New Zealand,2021-05-11,-1.0
Niger,2020-07-27,-4.0
Nigeria,2022-04-13,-30.0
North Macedonia,2022-10-20,-24.0
Papua New Guinea,2020-08-13,-16.0
Peru,2022-05-16,-907.0
Peru,2022-05-19,-1556.0
Peru,2022-11-14,-1301.0
Peru,2022-12-06,-270.0
Peru,2022-12-25,-65286.0
Peru,2023-01-04,-1029.0
Peru,2023-01-25,-1524.0
Peru,2023-01-31,-44.0
Peru,2023-02-22,-134.0
Peru,2023-03-02,-1513.0
Philippines,2021-12-21,-11.0
Philippines,2022-03-10,-343.0
Philippines,2022-05-17,-291.0
Philippines,2023-01-31,-13.0
Philippines,2023-02-14,-17.0
Portugal,2020-05-02,-161.0
Rwanda,2022-09-26,-26.0
Saint Vincent and the Grenadines,2022-01-31,-1544.0
Sao Tome and Principe,2022-03-14,-3.0
Serbia,2022-12-14,-8639.0
Serbia,2023-01-30,-781.0
Seychelles,2020-03-21,-3.0
Seychelles,2020-07-23,-1.0
Seychelles,2021-01-18,-1.0
Slovakia,2022-04-20,-784.0
Slovakia,2022-08-04,-3528.0
Solomon Islands,2022-01-11,-3.0
Spain,2020-04-24,-10034.0
Spain,2020-05-25,-372.0
Spain,2021-03-02,-74347.0
Spain,2021-12-11,-83.0
Spain,2022-07-26,-1635.0
Sudan,2021-09-06,-13.0
Taiwan*,2020-08-03,-1.0
Taiwan*,2020-08-09,-2.0
Thailand,2020-07-22,-2.0
Thailand,2022-05-22,-9342.0
Timor-Leste,2022-03-24,-5.0
Tunisia,2022-05-26,-573.0
Tuvalu,2022-11-28,-23.0
US,2023-03-05,-3862.0
Uganda,2020-04-18,-1.0
Uganda,2020-05-21,-104.0
United Kingdom,2021-04-09,-4787.0
United Kingdom,2021-05-18,-2362.0
United Kingdom,2022-05-26,-3789.0
Uruguay,2020-04-12,-21.0
Vanuatu,2022-07-22,-7.0
Vanuatu,2022-07-29,-6.0
Yemen,2020-08-11,-1.0
Zimbabwe,2020-05-02,-6.0
